Number,Model Number,Augmented
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
17,1,1
17,2,1
17,3,1
17,4,1
17,5,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
19,1,1
19,2,1
19,3,1
19,4,1
19,5,1
23,1,1
23,2,1
23,3,1
23,4,1
23,5,1
24,1,1
24,2,1
24,3,1
24,5,1
27,1,1
27,2,1
27,3,1
27,4,1
27,5,1
28,1,1
28,2,1
28,3,1
28,4,1
28,5,1
29,1,1
29,2,1
29,3,1
29,4,1
29,5,1
30,3,1
30,4,1
31,1,1
31,2,1
31,3,1
31,4,1
31,5,1
32,2,1
32,4,1
32,5,1
33,1,1
33,2,1
33,3,1
33,4,1
33,5,1
34,1,1
34,2,1
34,3,1
34,4,1
34,5,1
35,1,1
35,2,1
35,3,1
35,4,1
35,5,1
36,1,1
36,2,1
36,3,1
36,4,1
36,5,1
37,1,1
37,2,1
37,3,1
37,4,1
37,5,1
38,1,1
38,2,1
38,3,1
38,4,1
38,5,1
