Number,Model Number,Augmented
1,01,False
1,02,False
1,03,False
1,04,False
1,05,False
2,01,False
2,02,False
2,03,False
2,04,False
2,05,False
3,01,False
3,02,False
3,03,False
3,04,False
3,05,False
4,01,False
4,02,False
4,03,False
4,04,False
4,05,False
5,01,False
5,02,False
5,03,False
5,04,False
5,05,False
6,01,False
6,02,False
6,03,False
6,04,False
6,05,False
7,01,False
7,02,False
7,03,False
7,04,False
7,05,False
8,01,False
8,02,False
8,03,False
8,04,False
8,05,False
9,01,False
9,02,False
9,03,False
9,04,False
9,05,False
10,01,False
10,02,False
10,03,False
10,04,False
10,05,False
11,01,False
11,02,False
11,03,False
11,04,False
11,05,False
12,01,False
12,02,False
12,03,False
12,04,False
12,05,False
13,01,False
13,02,False
13,03,False
13,04,False
13,05,False
14,01,False
14,02,False
14,03,False
14,04,False
14,05,False
15,01,False
15,02,False
15,03,False
15,04,False
15,05,False
16,01,False
16,02,False
16,03,False
16,04,False
16,05,False
18,01,False
18,02,False
18,03,False
18,04,False
18,05,False
19,01,False
19,02,False
19,03,False
19,04,False
19,05,False
20,01,False
20,02,False
20,03,False
20,04,False
20,05,False
21,01,False
21,02,False
21,03,False
21,04,False
21,05,False
22,01,False
22,02,False
22,03,False
22,04,False
22,05,False
23,01,False
23,02,False
23,03,False
23,04,False
23,05,False
25,01,False
25,02,False
25,03,False
25,04,False
25,05,False
26,01,False
26,02,False
26,03,False
26,04,False
26,05,False
27,01,False
27,02,False
27,03,False
27,04,False
27,05,False
28,01,False
28,02,False
28,03,False
28,04,False
28,05,False
29,01,False
29,02,False
29,03,False
29,04,False
29,05,False
30,01,False
30,02,False
30,03,False
30,04,False
30,05,False
31,01,False
31,02,False
31,03,False
31,04,False
31,05,False
32,01,False
32,02,False
32,03,False
32,04,False
32,05,False
33,01,False
33,02,False
33,03,False
33,04,False
33,05,False
34,01,False
34,02,False
34,03,False
34,04,False
34,05,False
35,01,False
35,02,False
35,03,False
35,04,False
35,05,False
36,01,False
36,02,False
36,03,False
36,04,False
36,05,False
37,01,False
37,02,False
37,03,False
37,04,False
37,05,False
38,01,False
38,02,False
38,03,False
38,04,False
38,05,False
39,02,False
39,03,False
39,04,False
39,05,False
40,01,False
40,02,False
40,03,False
40,04,False
40,05,False
41,02,False
41,04,False
42,01,False
42,02,False
42,03,False
42,04,False
42,05,False
43,01,False
43,02,False
43,03,False
43,04,False
43,05,False
44,01,False
44,02,False
44,03,False
44,04,False
44,05,False
45,01,False
45,02,False
45,03,False
45,04,False
45,05,False
46,01,False
46,02,False
46,03,False
46,04,False
46,05,False
47,01,False
47,02,False
47,03,False
47,04,False
47,05,False
48,01,False
48,02,False
48,03,False
48,04,False
48,05,False
49,01,False
49,02,False
49,03,False
49,04,False
49,05,False
50,01,False
50,02,False
50,03,False
50,04,False
50,05,False
51,01,False
51,02,False
51,03,False
51,04,False
51,05,False
52,01,False
52,02,False
52,03,False
52,04,False
52,05,False
53,01,False
53,02,False
53,03,False
53,04,False
53,05,False
54,01,False
54,02,False
54,03,False
54,04,False
54,05,False
55,01,False
55,02,False
55,03,False
55,04,False
55,05,False
56,01,False
56,02,False
56,03,False
56,04,False
56,05,False
57,01,False
57,02,False
57,03,False
57,04,False
57,05,False
58,01,False
58,02,False
58,03,False
58,04,False
58,05,False
59,01,False
59,02,False
59,03,False
59,04,False
59,05,False
60,01,False
60,02,False
60,03,False
60,04,False
60,05,False
61,01,False
61,02,False
61,03,False
61,04,False
61,05,False
62,01,False
62,02,False
62,03,False
62,04,False
62,05,False
63,01,False
63,02,False
63,03,False
63,04,False
63,05,False
64,01,False
64,02,False
64,03,False
64,04,False
64,05,False
65,01,False
65,02,False
65,03,False
65,04,False
65,05,False
66,01,False
66,02,False
66,03,False
66,04,False
66,05,False
67,01,False
67,02,False
67,03,False
67,04,False
67,05,False
68,01,False
68,02,False
68,03,False
68,04,False
68,05,False
69,01,False
69,02,False
69,03,False
69,04,False
69,05,False
70,01,False
70,02,False
70,03,False
70,04,False
70,05,False
72,01,False
72,02,False
72,03,False
72,04,False
72,05,False
73,01,False
73,02,False
73,03,False
73,04,False
73,05,False
74,01,False
74,02,False
74,03,False
74,04,False
74,05,False
75,01,False
75,02,False
75,03,False
75,04,False
75,05,False
76,01,False
76,02,False
76,03,False
76,04,False
76,05,False
77,01,False
77,02,False
77,03,False
77,04,False
77,05,False
78,01,False
78,02,False
78,03,False
78,04,False
78,05,False
79,01,False
79,02,False
79,03,False
79,04,False
79,05,False
80,01,False
80,02,False
80,03,False
80,04,False
80,05,False
81,01,False
81,02,False
81,03,False
81,04,False
81,05,False
82,01,False
82,02,False
82,03,False
82,04,False
82,05,False
85,01,False
85,02,False
85,03,False
85,04,False
85,05,False
86,01,False
86,02,False
86,03,False
86,04,False
86,05,False
87,01,False
87,02,False
87,03,False
87,04,False
87,05,False
model,freq,count
