,Number
1,5
106,5
120,5
119,5
118,5
117,5
116,5
115,5
114,5
113,5
112,5
111,5
110,5
109,5
108,5
2,5
105,5
89,5
104,5
103,5
102,5
101,5
100,5
99,5
98,5
97,5
96,5
95,5
94,5
93,5
92,5
91,5
121,5
122,5
123,5
124,5
155,5
154,5
153,5
152,5
150,5
149,5
148,5
147,5
146,5
145,5
144,5
142,5
141,5
140,5
139,5
138,5
137,5
136,5
135,5
134,5
133,5
132,5
131,5
130,5
129,5
128,5
127,5
126,5
125,5
90,5
107,5
88,5
52,5
49,5
44,5
43,5
41,5
40,5
32,5
31,5
30,5
29,5
28,5
27,5
26,5
25,5
24,5
21,5
87,5
19,5
17,5
16,5
15,5
14,5
13,5
12,5
11,5
10,5
9,5
7,5
6,5
4,5
51,5
20,5
53,5
72,5
54,5
86,5
85,5
84,5
83,5
82,5
81,5
80,5
79,5
76,5
75,5
74,5
73,5
78,5
56,5
66,5
55,5
71,5
57,5
58,5
59,5
60,5
64,5
63,5
67,5
68,5
69,5
70,5
176,4
182,4
175,4
174,4
177,4
178,4
179,4
181,4
192,4
183,4
184,4
185,4
188,4
189,4
172,4
190,4
191,4
173,4
158,4
171,4
162,4
143,4
156,4
157,4
159,4
160,4
170,4
161,4
163,4
164,4
165,4
166,4
167,4
169,4
193,4
180,3
186,3
187,3
77,2
22,1
