Number,Model Number,Augmented
1,01,True
1,02,True
1,03,True
1,04,True
1,05,True
2,01,True
2,02,True
2,03,True
2,04,True
2,05,True
4,01,True
4,02,True
4,03,True
4,04,True
4,05,True
6,01,True
6,02,True
6,03,True
6,04,True
6,05,True
7,01,True
7,02,True
7,03,True
7,04,True
7,05,True
9,01,True
9,02,True
9,03,True
9,04,True
9,05,True
10,01,True
10,02,True
10,03,True
10,04,True
10,05,True
11,01,True
11,02,True
11,03,True
11,04,True
11,05,True
12,01,True
12,02,True
12,03,True
12,04,True
12,05,True
13,01,True
13,02,True
13,03,True
13,04,True
13,05,True
14,01,True
14,02,True
14,03,True
14,04,True
14,05,True
15,01,True
15,02,True
15,03,True
15,04,True
15,05,True
16,01,True
16,02,True
16,03,True
16,04,True
16,05,True
17,01,True
17,02,True
17,03,True
17,04,True
17,05,True
19,01,True
19,02,True
19,03,True
19,04,True
19,05,True
20,01,True
20,02,True
20,03,True
20,04,True
20,05,True
21,01,True
21,02,True
21,03,True
21,04,True
21,05,True
22,03,True
24,01,True
24,02,True
24,03,True
24,04,True
24,05,True
25,01,True
25,02,True
25,03,True
25,04,True
25,05,True
26,01,True
26,02,True
26,03,True
26,04,True
26,05,True
27,01,True
27,02,True
27,03,True
27,04,True
27,05,True
28,01,True
28,02,True
28,03,True
28,04,True
28,05,True
29,01,True
29,02,True
29,03,True
29,04,True
29,05,True
30,01,True
30,02,True
30,03,True
30,04,True
30,05,True
31,01,True
31,02,True
31,03,True
31,04,True
31,05,True
32,01,True
32,02,True
32,03,True
32,04,True
32,05,True
40,01,True
40,02,True
40,03,True
40,04,True
40,05,True
41,01,True
41,02,True
41,03,True
41,04,True
41,05,True
43,01,True
43,02,True
43,03,True
43,04,True
43,05,True
44,01,True
44,02,True
44,03,True
44,04,True
44,05,True
49,01,True
49,02,True
49,03,True
49,04,True
49,05,True
51,01,True
51,02,True
51,03,True
51,04,True
51,05,True
52,01,True
52,02,True
52,03,True
52,04,True
52,05,True
53,01,True
53,02,True
53,03,True
53,04,True
53,05,True
54,01,True
54,02,True
54,03,True
54,04,True
54,05,True
55,01,True
55,02,True
55,03,True
55,04,True
55,05,True
56,01,True
56,02,True
56,03,True
56,04,True
56,05,True
57,01,True
57,02,True
57,03,True
57,04,True
57,05,True
58,01,True
58,02,True
58,03,True
58,04,True
58,05,True
59,01,True
59,02,True
59,03,True
59,04,True
59,05,True
60,01,True
60,02,True
60,03,True
60,04,True
60,05,True
63,01,True
63,02,True
63,03,True
63,04,True
63,05,True
64,01,True
64,02,True
64,03,True
64,04,True
64,05,True
66,01,True
66,02,True
66,03,True
66,04,True
66,05,True
67,01,True
67,02,True
67,03,True
67,04,True
67,05,True
68,01,True
68,02,True
68,03,True
68,04,True
68,05,True
69,01,True
69,02,True
69,03,True
69,04,True
69,05,True
70,01,True
70,02,True
70,03,True
70,04,True
70,05,True
71,01,True
71,02,True
71,03,True
71,04,True
71,05,True
72,01,True
72,02,True
72,03,True
72,04,True
72,05,True
73,01,True
73,02,True
73,03,True
73,04,True
73,05,True
74,01,True
74,02,True
74,03,True
74,04,True
74,05,True
75,01,True
75,02,True
75,03,True
75,04,True
75,05,True
76,01,True
76,02,True
76,03,True
76,04,True
76,05,True
77,02,True
77,04,True
78,01,True
78,02,True
78,03,True
78,04,True
78,05,True
79,01,True
79,02,True
79,03,True
79,04,True
79,05,True
80,01,True
80,02,True
80,03,True
80,04,True
80,05,True
81,01,True
81,02,True
81,03,True
81,04,True
81,05,True
82,01,True
82,02,True
82,03,True
82,04,True
82,05,True
83,01,True
83,02,True
83,03,True
83,04,True
83,05,True
84,01,True
84,02,True
84,03,True
84,04,True
84,05,True
85,01,True
85,02,True
85,03,True
85,04,True
85,05,True
86,01,True
86,02,True
86,03,True
86,04,True
86,05,True
87,01,True
87,02,True
87,03,True
87,04,True
87,05,True
88,01,True
88,02,True
88,03,True
88,04,True
88,05,True
89,01,True
89,02,True
89,03,True
89,04,True
89,05,True
90,01,True
90,02,True
90,03,True
90,04,True
90,05,True
91,01,True
91,02,True
91,03,True
91,04,True
91,05,True
92,01,True
92,02,True
92,03,True
92,04,True
92,05,True
93,01,True
93,02,True
93,03,True
93,04,True
93,05,True
94,01,True
94,02,True
94,03,True
94,04,True
94,05,True
95,01,True
95,02,True
95,03,True
95,04,True
95,05,True
96,01,True
96,02,True
96,03,True
96,04,True
96,05,True
97,01,True
97,02,True
97,03,True
97,04,True
97,05,True
98,01,True
98,02,True
98,03,True
98,04,True
98,05,True
99,01,True
99,02,True
99,03,True
99,04,True
99,05,True
100,01,True
100,02,True
100,03,True
100,04,True
100,05,True
101,01,True
101,02,True
101,03,True
101,04,True
101,05,True
102,01,True
102,02,True
102,03,True
102,04,True
102,05,True
103,01,True
103,02,True
103,03,True
103,04,True
103,05,True
104,01,True
104,02,True
104,03,True
104,04,True
104,05,True
105,01,True
105,02,True
105,03,True
105,04,True
105,05,True
106,01,True
106,02,True
106,03,True
106,04,True
106,05,True
107,01,True
107,02,True
107,03,True
107,04,True
107,05,True
108,01,True
108,02,True
108,03,True
108,04,True
108,05,True
109,01,True
109,02,True
109,03,True
109,04,True
109,05,True
110,01,True
110,02,True
110,03,True
110,04,True
110,05,True
111,01,True
111,02,True
111,03,True
111,04,True
111,05,True
112,01,True
112,02,True
112,03,True
112,04,True
112,05,True
113,01,True
113,02,True
113,03,True
113,04,True
113,05,True
114,01,True
114,02,True
114,03,True
114,04,True
114,05,True
115,01,True
115,02,True
115,03,True
115,04,True
115,05,True
116,01,True
116,02,True
116,03,True
116,04,True
116,05,True
117,01,True
117,02,True
117,03,True
117,04,True
117,05,True
118,01,True
118,02,True
118,03,True
118,04,True
118,05,True
119,01,True
119,02,True
119,03,True
119,04,True
119,05,True
120,01,True
120,02,True
120,03,True
120,04,True
120,05,True
121,01,True
121,02,True
121,03,True
121,04,True
121,05,True
122,01,True
122,02,True
122,03,True
122,04,True
